,genres,id,title,production_countries,vote_average,year
8307,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",992,"Sherlock, Jr.","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1924
8317,"[{'id': 35, 'name': 'Comedy'}]",31411,The Cameraman,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1928
8377,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",43867,The Prisoner of Zenda,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,1937
8385,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",31868,Intermezzo: A Love Story,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1939
8455,"[{'id': 18, 'name': 'Drama'}]",946,Letter from an Unknown Woman,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1948
8500,"[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",17640,It's Always Fair Weather,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1955
8860,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",17663,Anne of Green Gables,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1985
8926,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",114524,Common Threads: Stories from the Quilt,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1989
9117,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",30983,From the Earth to the Moon,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,1998
9179,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}, {'id': 10770, 'name': 'TV Movie'}]",29587,Style Wars,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1983
9389,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",27079,High Roller: The Stu Ungar Story,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,2003
9683,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",43141,The Matchmaker,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1958
10032,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",40730,On Borrowed Time,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1939
10456,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}]",34662,Li'l Abner,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1959
10763,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",97936,Sweet November,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1968
10876,"[{'id': 99, 'name': 'Documentary'}]",13222,The Devil and Daniel Johnston,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,2005
11029,"[{'id': 99, 'name': 'Documentary'}]",42003,Chuck Berry: Hail! Hail! Rock 'n' Roll,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,1987
11050,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",43147,Blessed Event,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1932
11385,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",68736,Joe Cocker - Mad Dogs & Englishmen,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1971
11666,"[{'id': 35, 'name': 'Comedy'}]",61648,Something in the Wind,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1947
11861,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",170261,The Legend of Sleepy Hollow,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1980
11998,"[{'id': 18, 'name': 'Drama'}]",17274,American Pastime,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,2007
12027,"[{'id': 99, 'name': 'Documentary'}]",13958,The King of Kong,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,2007
12124,"[{'id': 99, 'name': 'Documentary'}]",114033,...And the Pursuit of Happiness,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1986
12135,"[{'id': 10402, 'name': 'Music'}, {'id': 37, 'name': 'Western'}]",50155,Can't Help Singing,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1944
12164,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",42173,Chilly Scenes of Winter,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1979
12553,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",92299,The Thief Who Came to Dinner,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1973
12667,"[{'id': 35, 'name': 'Comedy'}]",72609,Steamboat Round the Bend,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1935
12762,"[{'id': 99, 'name': 'Documentary'}]",33588,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,2007
12982,"[{'id': 99, 'name': 'Documentary'}]",38616,Marjoe,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1972
13252,"[{'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",15584,Dear Zachary: A Letter to a Son About His Father,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,2008
13265,"[{'id': 35, 'name': 'Comedy'}]",53519,High and Dizzy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1920
13322,"[{'id': 99, 'name': 'Documentary'}, {'id': 35, 'name': 'Comedy'}]",47658,John Waters: This Filthy World,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,2006
13447,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",43034,Hell to Eternity,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1960
13645,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",38464,Black Magic,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1944
13710,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",90799,Hi Diddle Diddle,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1943
14579,"[{'id': 35, 'name': 'Comedy'}]",121379,Lady Windermere's Fan,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1925
14656,"[{'id': 99, 'name': 'Documentary'}]",87065,Louie Bluie,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,1985
15134,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",43517,This Is the Army,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1943
15143,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",40594,Julia Sweeney - Letting Go of God,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,2008
15331,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",94225,Bless the Beasts & Children,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.8,1971
15345,"[{'id': 18, 'name': 'Drama'}]",48003,Gigot,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1962
15460,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1789,The Gazebo,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1959
15521,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",53209,The Patsy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1928
15710,"[{'id': 99, 'name': 'Documentary'}]",96451,If God Is Willing and da Creek Don't Rise,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,2010
15757,"[{'id': 18, 'name': 'Drama'}]",133792,The Joker Is Wild,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1957
15794,"[{'id': 18, 'name': 'Drama'}]",49813,Sue,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1997
16687,[],109887,My Foolish Heart,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1950
16792,"[{'id': 99, 'name': 'Documentary'}]",8770,Uncounted,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,2008
16803,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",72185,Winnie the Pooh and Tigger Too,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1974
16903,"[{'id': 35, 'name': 'Comedy'}]",82460,Bye Bye Braverman,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1968
16978,"[{'id': 35, 'name': 'Comedy'}]",45523,Louis C.K.: Hilarious,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,2010
16979,"[{'id': 35, 'name': 'Comedy'}]",30969,Louis C.K.: Chewed Up,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,2008
17268,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",105981,Lucky Star,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1929
17578,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",209802,SUBWAYStories: Tales from the Underground,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1997
17739,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",72744,Pearl Jam: Twenty,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,2011
17910,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",61645,First Love,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1939
18060,"[{'id': 35, 'name': 'Comedy'}]",27012,Bone,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1972
18124,"[{'id': 99, 'name': 'Documentary'}]",53328,The Last Mountain,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,2011
18406,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",45971,You and Me,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,1938
18462,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",72186,Thunder Soul,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,2010
18533,"[{'id': 35, 'name': 'Comedy'}]",80379,Louis C.K.: Live at the Beacon Theater,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,2011
18629,"[{'id': 99, 'name': 'Documentary'}]",26397,The Civil War,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.2,1990
18697,"[{'id': 12, 'name': 'Adventure'}, {'id': 99, 'name': 'Documentary'}]",68450,The Art of Flight,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,2011
18910,"[{'id': 99, 'name': 'Documentary'}]",105583,Diaries Notes and Sketches,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,1969
18948,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",84496,Zig Zag,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1970
19203,"[{'id': 99, 'name': 'Documentary'}]",148807,"Lost, Lost, Lost","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1976
19550,"[{'id': 99, 'name': 'Documentary'}]",262243,The John Garfield Story,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.5,2003
19562,"[{'id': 99, 'name': 'Documentary'}]",288121,Fearful Symmetry,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,1998
19564,"[{'id': 99, 'name': 'Documentary'}]",92171,The Thing: Terror Takes Shape,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.9,1998
19712,"[{'id': 99, 'name': 'Documentary'}]",288295,Lana Turner... a Daughter's Memoir,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,2001
19915,"[{'id': 10402, 'name': 'Music'}]",21317,Paramore: The Final Riot!,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,2008
19968,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",38769,Little Miss Broadway,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,1938
20783,"[{'id': 99, 'name': 'Documentary'}]",37757,Never Sleep Again: The Elm Street Legacy,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,2010
20999,"[{'id': 99, 'name': 'Documentary'}]",130824,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.5,2000
21292,"[{'id': 99, 'name': 'Documentary'}]",216755,The Human Behavior Experiments,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,2006
21390,"[{'id': 99, 'name': 'Documentary'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",205985,Miss You Can Do It,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,2013
21415,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",259808,Criminal Justice,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1990
21490,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",107231,A Ticklish Affair,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1963
21516,"[{'id': 99, 'name': 'Documentary'}, {'id': 10751, 'name': 'Family'}]",198342,Family Band: The Cowsills Story,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,2011
21616,"[{'id': 18, 'name': 'Drama'}]",62503,Almost Kings,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,2010
21968,"[{'id': 18, 'name': 'Drama'}]",144613,Beau Brummel,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1924
22006,"[{'id': 99, 'name': 'Documentary'}]",43208,Snowball Effect: The Story of Clerks,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.9,2004
22161,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",158994,After Tiller,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.8,2013
22578,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",89445,Eggshells,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1969
23463,"[{'id': 99, 'name': 'Documentary'}]",252147,Mile... Mile & A Half,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.8,2013
23598,"[{'id': 35, 'name': 'Comedy'}]",86297,Tall Story,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1960
23627,"[{'id': 27, 'name': 'Horror'}]",66762,Jennifer,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1978
23649,"[{'id': 99, 'name': 'Documentary'}]",174319,Elaine Stritch: Shoot Me,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,2013
23673,"[{'id': 18, 'name': 'Drama'}]",244786,Whiplash,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,2014
23914,"[{'id': 99, 'name': 'Documentary'}]",81543,So Much So Fast,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,2006
23926,"[{'id': 27, 'name': 'Horror'}]",42796,The Strangler,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1964
24380,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",38457,Charlie Chan at the Wax Museum,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.4,1940
24421,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",224946,Motivational Growth,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,2013
24471,"[{'id': 37, 'name': 'Western'}]",143516,Winterhawk,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1975
24733,"[{'id': 99, 'name': 'Documentary'}]",248870,An Apology to Elephants,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,2013
24809,"[{'id': 35, 'name': 'Comedy'}]",32182,David Cross: The Pride Is Back,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1999
24881,"[{'id': 12, 'name': 'Adventure'}, {'id': 99, 'name': 'Documentary'}]",294959,Valley Uprising,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,2014
24951,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",184061,Deliver Us from Evil,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1973
25157,"[{'id': 18, 'name': 'Drama'}]",116385,Let No Man Write My Epitaph,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1960
25253,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",230836,Levitated Mass,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,2013
